Device_ID,User_ID,Age,Household_Size,City,Avg_Energy_Usage_kWh,Peak_Load_kW,Water_Usage_L_per_day,Occupancy_Hours,Smart_Device_Count,Weather_Condition,Weekday,Energy_Cost
D67,U67,64,6,Pune,15.17,6.04,205,6,5,Cloudy,Tue,421
D68,U68,22,6,Kochi,8.7,5.65,184,16,10,Rainy,Tue,791
D69,U69,43,5,Kochi,11.39,6.61,313,15,9,Rainy,Wed,1230
D70,U70,37,4,Hyderabad,3.22,7.08,220,10,13,Cloudy,Mon,1495
D71,U71,23,6,Bengaluru,5.26,6.3,231,12,19,Sunny,Thu,1217
D72,U72,23,4,Bengaluru,19.23,5.54,296,15,6,Rainy,Tue,2263
D73,U73,67,4,Kochi,18.02,0.74,118,8,4,Rainy,Mon,1647
D74,U74,35,7,Bengaluru,13.74,4.51,111,7,3,Cloudy,Sun,2245
D75,U75,21,4,Kochi,10.27,0.78,180,14,3,Cloudy,Sat,723
D76,U76,34,1,Pune,14.16,6.56,429,5,4,Cloudy,Fri,2268
D77,U77,74,7,Hyderabad,13.13,2.91,491,5,5,Cloudy,Tue,2475
D78,U78,31,3,Chennai,12.23,4.72,406,8,8,Cloudy,Sat,2008
D79,U79,31,3,Hyderabad,3.07,2.6,366,10,16,Cloudy,Sat,1511
D80,U80,30,6,Kochi,13.39,6.37,546,13,3,Sunny,Sat,1506
D81,U81,24,6,Kochi,15.84,7.15,540,13,12,Rainy,Sat,2651
D82,U82,61,4,Hyderabad,19.89,3.49,101,12,8,Sunny,Sat,1289
D83,U83,72,7,Kochi,2.2,6.97,619,16,13,Sunny,Tue,1872
D84,U84,32,7,Bengaluru,15.14,2.5,408,10,4,Cloudy,Sun,636
D85,U85,36,1,Bengaluru,12.29,4.51,621,8,14,Rainy,Thu,1028
D86,U86,60,4,Kochi,9.81,6.94,568,13,14,Sunny,Wed,458
D87,U87,64,1,Kochi,4.3,2.94,311,13,13,Cloudy,Sat,2203
D88,U88,61,4,Bengaluru,9.36,7.66,211,13,6,Cloudy,Sat,2189
D89,U89,52,2,Kochi,8.38,1.41,107,9,17,Rainy,Wed,302
D90,U90,34,2,Kochi,7.45,0.64,576,14,4,Sunny,Sun,1192
D91,U91,52,5,Hyderabad,15.16,7.28,559,15,8,Sunny,Sun,968
D92,U92,36,4,Chennai,14.61,1.01,352,6,17,Sunny,Tue,1324
D93,U93,37,7,Bengaluru,12.6,7.94,625,8,3,Cloudy,Mon,1421
D94,U94,53,6,Hyderabad,18.9,7.64,537,11,17,Rainy,Fri,2473
D95,U95,52,3,Chennai,8.3,1.53,335,4,9,Rainy,Fri,2710
D96,U96,49,5,Kochi,6.39,4.53,405,15,2,Sunny,Mon,436
D97,U97,65,6,Kochi,13.81,1.89,577,4,13,Cloudy,Tue,1344
D98,U98,61,2,Hyderabad,5.58,3.71,119,10,2,Sunny,Fri,2753
D99,U99,57,4,Kochi,7.67,0.96,315,17,11,Rainy,Sun,966
D100,U100,41,5,Pune,6.04,2.18,234,8,15,Cloudy,Wed,2881
D101,U101,34,4,Hyderabad,3.24,3.22,228,17,11,Sunny,Mon,1190
D102,U102,24,2,Chennai,16.89,3.79,509,8,3,Sunny,Sun,2865
D103,U103,60,5,Hyderabad,6.58,7.83,521,4,3,Cloudy,Thu,1959
D104,U104,67,2,Bengaluru,10.51,6.56,393,12,12,Rainy,Tue,2520
D105,U105,18,1,Hyderabad,2.78,6.03,345,4,5,Cloudy,Mon,2479
D106,U106,52,2,Kochi,14.59,4.53,655,8,7,Sunny,Fri,695
D107,U107,49,7,Kochi,7.95,6.8,185,13,7,Sunny,Tue,1247
D108,U108,53,7,Pune,15.41,3.04,655,12,13,Sunny,Wed,1926
D109,U109,30,4,Pune,9.42,5.82,474,17,9,Sunny,Tue,2749
D110,U110,23,3,Pune,5.52,7.95,545,7,13,Rainy,Tue,2272
D111,U111,31,2,Chennai,11.24,2.86,477,16,12,Rainy,Wed,2535
D112,U112,54,6,Pune,4.35,5.56,489,11,13,Sunny,Sat,537
D113,U113,65,7,Chennai,9.93,6.83,150,9,10,Rainy,Wed,2137
D114,U114,32,3,Pune,7.71,7.37,341,14,1,Rainy,Sun,2017
D115,U115,64,1,Chennai,18.42,5.88,393,6,8,Rainy,Tue,336
D116,U116,21,5,Hyderabad,3.1,2.63,662,7,16,Sunny,Wed,2755
D117,U117,57,5,Hyderabad,14.49,2.95,365,5,13,Cloudy,Sat,2474
D118,U118,33,7,Kochi,5.29,0.66,219,4,3,Cloudy,Sun,519
D119,U119,45,3,Chennai,7.74,6.21,347,16,3,Cloudy,Mon,2063
D120,U120,33,7,Bengaluru,9.48,0.82,169,17,5,Sunny,Wed,1115
D121,U121,21,5,Kochi,18.34,6.98,156,11,11,Rainy,Wed,1405
D122,U122,62,2,Hyderabad,6.37,1.39,481,4,7,Rainy,Tue,2097
D123,U123,43,3,Chennai,3.64,1.79,138,17,10,Sunny,Sun,2333
D124,U124,45,4,Pune,7.74,4.07,542,16,10,Sunny,Mon,1125
D125,U125,49,2,Bengaluru,3.88,6.03,117,14,2,Cloudy,Thu,2300
D126,U126,62,2,Hyderabad,4.31,1.54,451,4,3,Cloudy,Thu,1458
D127,U127,19,2,Kochi,12.33,3.8,397,7,8,Sunny,Fri,2182
D128,U128,48,4,Chennai,3.1,4.12,382,13,11,Cloudy,Wed,632
D129,U129,20,1,Bengaluru,2.56,2.09,685,15,13,Rainy,Wed,1198
D130,U130,71,6,Chennai,14.86,1.37,209,13,7,Sunny,Mon,2347
D131,U131,25,7,Pune,8.51,6.77,279,9,13,Sunny,Sat,1189
D132,U132,41,5,Kochi,4.26,4.27,643,12,2,Rainy,Thu,798
D133,U133,32,7,Chennai,6.57,0.61,124,4,6,Rainy,Fri,2650
D134,U134,60,3,Hyderabad,13.56,6.52,156,10,9,Rainy,Mon,595
D135,U135,48,1,Kochi,6.96,7.86,279,13,2,Cloudy,Wed,614
D136,U136,26,3,Hyderabad,10.9,5.04,331,14,18,Sunny,Thu,1138
D137,U137,56,7,Chennai,4.19,4.28,442,8,16,Cloudy,Sun,1836
D138,U138,62,5,Kochi,12.59,7.09,576,15,12,Rainy,Fri,2924
D139,U139,19,4,Hyderabad,7.69,7.64,675,11,7,Cloudy,Tue,2710
D140,U140,25,7,Pune,13.29,6.16,554,17,7,Rainy,Thu,740
D141,U141,24,2,Pune,16.55,3.84,331,10,17,Cloudy,Fri,1849
D142,U142,73,7,Chennai,13.01,4.94,388,7,13,Cloudy,Mon,2145
D143,U143,61,2,Kochi,7.32,5.76,312,7,11,Rainy,Tue,283
D144,U144,68,4,Bengaluru,6.6,1.96,357,9,6,Cloudy,Fri,470
D145,U145,56,7,Kochi,7.89,3.85,629,9,14,Sunny,Fri,2491
D146,U146,59,1,Pune,4.96,6.72,328,12,6,Cloudy,Wed,587
D147,U147,74,1,Hyderabad,5.26,5.41,325,15,6,Cloudy,Sat,413
D148,U148,33,3,Bengaluru,16.23,3.58,695,8,2,Sunny,Thu,258
D149,U149,52,4,Chennai,8.93,5.48,534,11,15,Rainy,Wed,1825
D150,U150,47,1,Bengaluru,9.85,1.39,501,8,17,Sunny,Sun,1042
D151,U151,27,7,Chennai,12.69,3.51,187,5,8,Cloudy,Tue,1727
D152,U152,55,4,Bengaluru,12.61,6.45,683,9,5,Rainy,Sat,1929
D153,U153,35,5,Chennai,3.21,2.15,641,12,17,Cloudy,Fri,322
D154,U154,67,2,Chennai,16.97,1.89,408,16,1,Cloudy,Wed,1636
D155,U155,22,7,Bengaluru,5.19,7.63,442,6,18,Sunny,Sat,1362
D156,U156,70,2,Bengaluru,15.02,2.07,535,4,15,Sunny,Sun,2686
D157,U157,46,2,Chennai,15.91,2.46,276,4,5,Rainy,Thu,761
D158,U158,56,4,Pune,14.87,7.77,238,16,7,Rainy,Sun,2365
D159,U159,51,4,Bengaluru,12.42,6.01,293,6,18,Rainy,Tue,1937
D160,U160,60,3,Kochi,2.26,5.75,285,13,6,Cloudy,Mon,1104
D161,U161,62,2,Hyderabad,8.49,6.9,317,8,5,Sunny,Wed,594
D162,U162,40,3,Chennai,12.89,1.37,263,6,19,Sunny,Tue,1926
D163,U163,22,2,Chennai,8.97,5.79,260,12,10,Sunny,Mon,1916
D164,U164,47,3,Hyderabad,17.54,4.28,624,11,15,Rainy,Wed,1134
D165,U165,23,3,Pune,7.56,6.72,141,6,10,Sunny,Tue,1301
D166,U166,73,5,Hyderabad,7.28,4.31,309,12,16,Sunny,Sun,1635
D167,U167,63,3,Bengaluru,6.79,5.15,374,16,12,Sunny,Tue,274
D168,U168,61,4,Hyderabad,7.99,4.08,378,9,18,Rainy,Sat,494
D169,U169,21,3,Chennai,12.03,4.09,350,16,1,Sunny,Sun,220
D170,U170,46,2,Hyderabad,14.73,6.26,409,10,16,Rainy,Wed,1238
D171,U171,40,3,Kochi,13.93,5.21,239,7,6,Sunny,Tue,1434
D172,U172,23,1,Bengaluru,16.54,5.25,645,7,3,Sunny,Fri,759
D173,U173,49,6,Hyderabad,17.95,3.88,629,15,2,Sunny,Wed,1309
D174,U174,59,2,Chennai,16.69,4.48,156,16,2,Rainy,Tue,1372
D175,U175,35,1,Bengaluru,2.34,6.09,211,5,13,Rainy,Sat,571
D176,U176,32,2,Chennai,15.25,6.69,104,8,9,Sunny,Mon,2227
D177,U177,57,4,Pune,5.75,5.72,509,11,16,Cloudy,Mon,1017
D178,U178,49,6,Kochi,4.39,7.43,513,10,5,Rainy,Fri,1374
D179,U179,26,6,Pune,13.49,6.65,281,10,7,Rainy,Wed,1364
D180,U180,54,4,Kochi,7.76,4.71,112,9,13,Sunny,Sat,1292
D181,U181,27,6,Hyderabad,3.03,5.54,438,6,13,Cloudy,Tue,1483
D182,U182,37,4,Bengaluru,4.48,7.45,358,8,7,Sunny,Tue,2211
D183,U183,23,1,Hyderabad,2.02,5.14,189,16,10,Rainy,Mon,1045
D184,U184,65,5,Kochi,18.26,6.69,349,4,15,Rainy,Sat,2191
D185,U185,73,2,Kochi,2.44,5.67,354,10,6,Sunny,Sun,720
D186,U186,20,4,Kochi,5.77,4.64,687,12,5,Sunny,Fri,570
D187,U187,59,2,Chennai,9.49,2.31,207,4,2,Cloudy,Mon,1642
D188,U188,28,1,Bengaluru,8.42,3.69,693,16,15,Cloudy,Mon,300
D189,U189,60,5,Hyderabad,18.41,7.76,688,5,16,Rainy,Fri,860
D190,U190,34,1,Hyderabad,2.73,5.43,584,6,19,Cloudy,Wed,1881
D191,U191,49,6,Pune,11.22,4.73,357,6,9,Cloudy,Tue,442
D192,U192,21,2,Kochi,14.25,7.5,381,11,19,Rainy,Wed,711
D193,U193,21,7,Kochi,18.77,4.9,187,10,7,Rainy,Sat,2802
D194,U194,34,5,Kochi,13.17,4.45,303,9,4,Rainy,Sun,2473
D195,U195,58,6,Hyderabad,16.47,6.19,115,13,3,Rainy,Thu,1741
D196,U196,36,5,Pune,3.51,5.84,250,13,11,Sunny,Thu,2461
D197,U197,22,6,Chennai,8.95,1.95,353,14,1,Rainy,Thu,2965
D198,U198,49,1,Bengaluru,8.73,4.03,287,7,6,Rainy,Fri,2314
D199,U199,39,4,Chennai,17.95,4.04,428,12,11,Rainy,Mon,595
D200,U200,73,2,Hyderabad,4.72,3.34,643,4,1,Cloudy,Sun,811
D201,U201,23,3,Kochi,4.73,4.38,496,14,7,Rainy,Wed,1460
D202,U202,52,3,Bengaluru,7.91,3.6,616,5,6,Sunny,Tue,2057
D203,U203,39,1,Hyderabad,2.98,2.0,558,17,14,Sunny,Thu,969
D204,U204,18,2,Hyderabad,5.28,3.59,429,7,2,Rainy,Wed,1622
D205,U205,37,2,Hyderabad,19.37,1.04,268,6,4,Sunny,Thu,606
D206,U206,39,1,Bengaluru,9.71,4.82,465,4,11,Cloudy,Sun,2072
D207,U207,65,2,Bengaluru,13.38,6.9,277,8,15,Rainy,Thu,1703
D208,U208,72,4,Pune,15.07,5.94,461,10,18,Sunny,Tue,2894
D209,U209,28,1,Pune,8.61,3.2,139,5,1,Sunny,Sat,2469
D210,U210,30,4,Chennai,4.65,1.15,515,8,3,Rainy,Sat,1379
D211,U211,59,2,Bengaluru,5.72,2.02,454,9,3,Sunny,Sun,853
D212,U212,20,1,Bengaluru,7.64,4.59,354,14,7,Rainy,Sat,2675
D213,U213,26,2,Bengaluru,13.45,2.05,242,10,1,Sunny,Fri,1381
D214,U214,29,1,Pune,9.17,4.58,676,4,11,Cloudy,Mon,1176
D215,U215,40,2,Hyderabad,2.12,2.24,110,10,6,Sunny,Fri,1639
D216,U216,31,4,Kochi,11.42,6.87,125,7,3,Sunny,Wed,2618
D217,U217,50,7,Pune,18.59,3.48,520,11,19,Rainy,Fri,1567
D218,U218,35,4,Bengaluru,16.62,2.34,320,16,2,Sunny,Wed,428
D219,U219,66,2,Pune,16.85,6.59,595,7,18,Rainy,Wed,2527
D220,U220,58,1,Chennai,16.31,3.07,336,9,12,Cloudy,Mon,2093
D221,U221,26,3,Bengaluru,7.83,1.34,336,12,10,Rainy,Tue,1513
D222,U222,40,4,Chennai,15.77,4.78,318,8,5,Rainy,Sun,1270
D223,U223,27,4,Bengaluru,4.58,4.86,586,17,9,Sunny,Mon,1174
D224,U224,36,6,Pune,13.84,5.86,560,15,2,Cloudy,Sun,1938
D225,U225,64,3,Hyderabad,13.55,2.3,243,7,2,Rainy,Sat,957
D226,U226,22,2,Kochi,2.46,3.83,288,11,6,Sunny,Sat,520
D227,U227,64,7,Chennai,16.18,2.62,354,16,10,Sunny,Fri,2521
D228,U228,69,1,Pune,18.26,1.11,167,12,18,Rainy,Wed,755
D229,U229,40,6,Hyderabad,6.81,7.07,435,7,12,Sunny,Thu,1043
D230,U230,47,2,Pune,16.62,5.97,508,6,4,Rainy,Thu,1536
D231,U231,42,5,Chennai,3.48,2.76,399,11,17,Rainy,Sun,1586
D232,U232,45,7,Kochi,12.8,5.0,456,17,15,Rainy,Wed,867
D233,U233,51,4,Pune,10.74,2.01,355,8,6,Cloudy,Sun,2627
D234,U234,62,5,Bengaluru,11.83,7.18,452,5,16,Rainy,Mon,2958
D235,U235,73,4,Hyderabad,18.67,1.36,620,13,17,Sunny,Tue,2142
D236,U236,65,4,Pune,17.68,0.53,623,12,3,Cloudy,Mon,2204
D237,U237,64,5,Hyderabad,16.13,4.27,383,6,10,Sunny,Wed,2130
D238,U238,42,7,Bengaluru,6.93,4.87,411,15,5,Cloudy,Wed,945
D239,U239,27,5,Kochi,18.41,4.84,198,5,14,Cloudy,Tue,874
D240,U240,31,2,Kochi,3.76,0.91,296,4,13,Cloudy,Sun,2363
D241,U241,59,6,Bengaluru,17.36,2.86,581,17,6,Cloudy,Fri,2852
D242,U242,74,6,Hyderabad,7.91,4.24,325,11,12,Sunny,Fri,1265
D243,U243,63,5,Pune,2.97,2.12,464,14,8,Rainy,Tue,2626
D244,U244,47,2,Bengaluru,14.05,7.04,467,6,5,Sunny,Fri,2713
D245,U245,72,6,Chennai,6.16,1.15,669,10,15,Rainy,Thu,2527
D246,U246,58,2,Hyderabad,6.38,4.16,689,4,16,Sunny,Fri,817
D247,U247,42,2,Kochi,7.51,5.69,174,4,1,Cloudy,Fri,2365
D248,U248,31,4,Bengaluru,3.15,2.46,141,15,16,Cloudy,Fri,2556
D249,U249,52,6,Kochi,5.19,5.18,521,12,5,Rainy,Thu,2347
D250,U250,69,6,Hyderabad,2.09,6.72,280,15,3,Rainy,Sun,2508
D251,U251,65,4,Kochi,10.02,1.93,644,11,15,Sunny,Fri,1192
D252,U252,51,5,Bengaluru,3.52,7.38,170,15,13,Rainy,Sat,1528
D253,U253,27,4,Hyderabad,14.29,4.65,667,16,16,Sunny,Thu,1577
D254,U254,52,6,Chennai,6.24,2.74,204,6,11,Rainy,Tue,485
D255,U255,28,6,Bengaluru,18.98,3.73,299,9,2,Rainy,Mon,2575
D256,U256,28,7,Pune,17.68,2.84,200,14,6,Rainy,Tue,2310
D257,U257,38,5,Bengaluru,7.21,5.94,406,6,6,Cloudy,Mon,886
D258,U258,38,4,Hyderabad,16.1,6.47,685,16,14,Cloudy,Tue,1505
D259,U259,39,1,Bengaluru,16.46,6.75,476,15,11,Sunny,Sat,1664
D260,U260,62,1,Chennai,19.76,7.89,498,7,8,Rainy,Mon,937
D261,U261,24,5,Chennai,12.76,6.43,320,4,8,Sunny,Mon,2886
D262,U262,72,4,Pune,3.48,5.01,694,8,1,Rainy,Wed,2158
D263,U263,34,4,Kochi,13.64,3.04,281,4,7,Cloudy,Mon,2094
D264,U264,19,2,Hyderabad,13.25,4.58,406,16,6,Cloudy,Mon,2723
D265,U265,29,6,Hyderabad,13.49,0.81,621,4,8,Rainy,Wed,1685
D266,U266,74,3,Kochi,7.53,6.09,495,13,19,Rainy,Fri,2300
D267,U267,59,7,Chennai,17.47,3.84,103,14,8,Cloudy,Fri,685
D268,U268,35,5,Chennai,19.27,0.65,380,14,14,Cloudy,Wed,1713
D269,U269,71,3,Bengaluru,5.92,0.97,314,17,18,Sunny,Thu,2201
D270,U270,28,3,Pune,3.59,3.41,519,10,16,Cloudy,Mon,1587
D271,U271,33,5,Pune,5.5,4.88,200,15,9,Rainy,Mon,2656
D272,U272,66,4,Pune,16.77,3.98,620,9,15,Sunny,Wed,1230
D273,U273,68,5,Bengaluru,14.18,5.14,672,5,10,Rainy,Wed,1965
D274,U274,35,3,Pune,13.45,4.1,408,17,16,Sunny,Thu,867
D275,U275,52,6,Kochi,9.23,5.46,609,14,4,Rainy,Sat,1420
D276,U276,70,7,Bengaluru,12.4,2.14,162,15,13,Cloudy,Fri,1034
D277,U277,43,7,Kochi,7.54,1.35,325,5,5,Rainy,Tue,1075
D278,U278,33,6,Bengaluru,10.59,4.97,204,14,7,Sunny,Sat,2614
D279,U279,23,6,Pune,16.28,4.14,524,10,9,Rainy,Sun,1201
D280,U280,74,4,Kochi,19.66,0.7,354,4,8,Sunny,Fri,449
D281,U281,61,1,Kochi,18.78,3.35,528,16,16,Rainy,Mon,2139
D282,U282,60,5,Kochi,18.81,1.3,533,5,6,Cloudy,Sun,1818
D283,U283,64,7,Bengaluru,9.24,4.49,306,15,16,Cloudy,Sat,1463
D284,U284,64,6,Hyderabad,10.44,3.47,127,11,6,Rainy,Wed,2627
D285,U285,65,5,Pune,14.7,5.1,435,9,14,Rainy,Thu,1071
D286,U286,59,7,Kochi,18.6,6.54,687,17,1,Rainy,Fri,1034
D287,U287,29,6,Hyderabad,4.56,2.75,168,5,9,Sunny,Thu,1118
D288,U288,30,7,Pune,7.48,7.72,612,10,13,Rainy,Sun,1924
D289,U289,21,4,Pune,4.51,4.52,266,7,19,Rainy,Fri,2702
D290,U290,56,1,Kochi,13.02,5.14,467,5,17,Sunny,Sat,2613
D291,U291,71,1,Kochi,7.51,5.61,350,15,11,Cloudy,Mon,1513
D292,U292,19,6,Bengaluru,7.87,5.5,269,9,8,Rainy,Tue,2097
D293,U293,43,7,Hyderabad,3.28,4.33,189,14,5,Rainy,Thu,602
D294,U294,44,4,Hyderabad,8.3,3.72,660,12,10,Cloudy,Thu,2305
D295,U295,44,2,Kochi,17.52,0.9,545,14,7,Cloudy,Tue,2768
D296,U296,32,5,Pune,6.2,0.67,393,12,10,Sunny,Thu,1527
D297,U297,25,5,Kochi,14.51,3.18,249,17,4,Rainy,Thu,1338
D298,U298,24,3,Pune,13.33,3.0,231,11,9,Rainy,Fri,409
D299,U299,64,4,Pune,17.54,3.41,532,6,14,Sunny,Fri,1264
